street	clause	restriction	side	from_point	to_point	extent	schedule	source_text	notes
Jones Court	1	prohibited	both	Adams Street	end		all days	Jones Court (1) Prohibited, all days, both sides, from Adams Street southwesterly to the end.	
Judith Road	1	no parking	both		end	entire length	9:00 a.m. to 11:00 a.m.	Judith Road (1) No parking, 9:00 a.m. to 11:00 a.m., except Sat, Sun and Holidays or by Resident Permit as listed in TPR-202, both sides, entire length.	see TPR-202
Kenneth Street	1	prohibited	east	Rockland Street	Columbia Avenue		all days	Kenneth Street (1) Prohibited, all days, east side, Rockland Street to Columbia Avenue.	
Keyes Street	1	prohibited	southwest				all days	Keyes Street (1) Prohibited, southwest side, all days.	
Kilburn Road	1	prohibited	east	Henshaw Place			all days	Kilburn Road (1) Prohibited, all days, east side from Henshaw Place northerly 100 feet.	
Kimball Terrace	1	resident permit only	both				school days; 8:00 a.m. to 4:00 p.m.	Kimball Terrace (1) Parking by Newtonville Resident parking permit only, 8:00 a.m. to 4:00 p.m., school days, both sides (two non-resident Newtonville parking permits allowed, one side only).	Newtonville Resident permit; two non-resident Newtonville parking permits allowed, one side only
Kingsbury Road	1	prohibited	east				8:00 a.m. to 10:00 a.m.	Kingsbury Road (1) Prohibited, 8:00 a.m. to 10:00 a.m., east side.	
Kirkstall Road	1	prohibited	both	Walnut Street	Woodside Road		school days; 8:00 a.m. to 4:00 p.m.	Kirkstall Road (1) Prohibited, 8:00 a.m. to 4:00 p.m., school days, both sides, from Walnut Street to Woodside Road, except by Newtonville Resident parking permit.	
Kirkstall Road	2	two-hour limit	both	Woodside Road	Upland Road		school days; 8:00 a.m. to 4:00 p.m.	Kirkstall Road (2) Two-hour limit, 8:00 a.m. to 4:00 p.m., school days, both sides, from Woodside Road to Upland Road, except by Newtonville Resident parking permit.	
Knowles Street	1	two-hour limit	both		end	entire length	8:00 a.m. to 4:00 p.m.	Knowles Street (1) Two-hour limit, 8:00 a.m. to 4:00 p.m., both sides, entire length.	
Lake Avenue	1	prohibited					all days	Lake Avenue (1) Prohibited, all days: a) South side, from Walnut Street to Beacon Street southerly 671 feet. b) South side, from a point 711 feet south of Beacon Street to Walnut Street. c) Northwesterly side, from the intersection of Berwick Road southerly 870 feet. d) Northwesterly side, from Hyde Street southwesterly 250 feet. e) North and west sides, from a point 180 feet south of Beacon Street to Laurel Street. f) East and west side from Beacon Street to Pleasant Street.	has lettered sub-clauses
Lake Avenue	2	one-hour limit	south	Station Avenue	Hyde Street		8:00 a.m. to 6:00 p.m.	Lake Avenue (2) One-hour limit, 8:00 a.m. to 6:00 p.m., south side from Station Avenue to Hyde Street.	
Lake Avenue	3	two-hour limit	north	Walnut Street	Hyde Street		7:00 a.m. to 7:00 p.m.	Lake Avenue (3) Two-hour limit, 7:00 a.m. to 7:00 p.m., north side from Walnut Street to Hyde Street.	
Lake Avenue	4	two-hour limit	north	100 feet east of Hyde Street			8:00 a.m. to 4:00 p.m.	Lake Avenue (4) Two-hour limit, 8:00 a.m. to 4:00 p.m., north side from a point 100 feet east of Hyde Street easterly 240 feet.	
Lake Avenue	5	two-hour limit	west	Beacon Street			7:00 a.m. to 6:00 p.m.	Lake Avenue (5) Two-hour limit, 7:00 a.m. to 6:00 p.m., west side, from Beacon Street southerly 234 feet.	
Lake Avenue (Auburndale)	1	prohibited	west	Woodland Road	Myrtle Avenue		all days	Lake Avenue (Auburndale) (1) Prohibited, all days, west side, from Woodland Road to Myrtle Avenue.	
Lakeview Avenue	1	two-hour limit	both				school days; 8:00 a.m. to 4:00 p.m.	Lakeview Avenue (1) Two-hour limit, 8:00 a.m. to 4:00 p.m., school days, both sides, except by Newtonville Resident parking permit.	
Lakewood Road	1	prohibited	south	Lake Avenue	Norman Road		all days	Lakewood Road (1) Prohibited, all days, Saturdays and Sundays included, south side, from Lake Avenue to Norman Road, from Memorial Day to Labor Day.	seasonal restriction
Lakewood Road	2	prohibited	north	Lake Avenue	Walnut Street		all days	Lakewood Road (2) Prohibited, all days, north side, from Lake Avenue to Walnut Street.	
Langley Road	1	prohibited					all days	Langley Road (1) Prohibited, all days: a) South side from a point 191 feet east of Centre Street easterly 24 feet. b) North side from Centre Green easterly 42 feet. c) North side from a point 305 feet west of Sumner Street westerly 34 feet. d) South side from Beacon Street westerly 100 feet. e) West side from the M.B.T.A. bridge to Glazer Road. f) East side from Warren Street southerly 100 feet. g) West side from Jackson Street northerly 600 feet. h) East side from John Street southerly 32 feet. i) East side from a point 54 feet south of John Street southerly 20 feet. j) East side from Beecher Place to a point 100 feet southerly.	has lettered sub-clauses
Langley Road	2	two-hour limit	east	Jackson Street	420 feet northerly		except Saturdays, Sundays and Holidays; 7:00 a.m. to 7:00 p.m.	Langley Road (2) Two-hour limit, 7:00 a.m. to 7:00 p.m., except Saturdays, Sundays and Holidays, from Jackson Street 420 feet northerly, east side.	
Langley Road	3	two-hour limit					Saturdays included; 7:00 a.m. to 10:00 p.m.	Langley Road (3) Two-hour limit, Saturdays included, 7:00 a.m. to 10:00 p.m.: a) East side from M.B.T.A. bridge to Glen Avenue. b) West side from Glazer Road to Maple Park. c) East side, from Bartlett Terrace to Glen Avenue.	has lettered sub-clauses
Langley Road	4	parking meter zone	both	Centre Street	MBTA bridge		8:00 a.m. to 6:00 p.m.	Langley Road (4) Parking meter zones, two-hour limit, 8:00 a.m. to 6:00 p.m.: a) East side Centre Street to MBTA bridge. b) West side from Centre Street to MBTA bridge.	two-hour limit; has lettered sub-clauses
Langley Road	5	15-minute limit						Langley Road (5) Fifteen minute limit: a) East side from a point 32 feet south of John Street southerly 22 feet. b) East side from a point 74 feet south of John Street southerly 22 feet.	has lettered sub-clauses
Larchmont Avenue	1	prohibited	odd				9:00 a.m. to 11:00 a.m.	Larchmont Avenue (1) Prohibited, 9:00 a.m. to 11:00 a.m., odd side (inside).	odd side (inside)
Larchmont Avenue	2	prohibited	even				2:00 p.m. to 4:00 p.m.	Larchmont Avenue (2) Prohibited, 2:00 p.m. to 4:00 p.m., even side (outside).	even side (outside)
Lasell Street	1	prohibited	north					Lasell Street (1) Prohibited, north side.	
Lasell Street	2	two-hour limit	south				9:00 a.m. to 5:00 p.m.	Lasell Street (2) Two-hour limit except by Auburndale Permit, Mon - Fri, 9:00 a.m. to 5:00 p.m., except Holidays, south side.	except by Auburndale Permit
Laurel Street	1	prohibited	east		end	entire length	all days	Laurel Street (1) Prohibited, all days, east side, entire length.	
Laurel Street	2	prohibited	west					Laurel Street (2) Prohibited, Memorial Day to Labor Day, west side.	seasonal restriction
Lawrence Avenue	1	prohibited	east				all days	Lawrence Avenue (1) Prohibited, all days, east side.	
Lawrence Road	1	one-hour limit	both				8:00 a.m. to 5:00 p.m.	Lawrence Road (1) One-hour limit, 8:00 a.m. to 5:00 p.m., both sides.	
Lee Road	1	one-hour limit / prohibited	southwest	Lawrence Avenue	Stone Avenue		except Saturdays, Sundays and Holidays; 8:00 a.m. to 5:30 p.m.; 5:30 p.m. to 9:00 p.m.	Lee Road (1) One-hour limit 8:00 a.m. to 5:30 p.m. except Saturdays, Sundays and Holidays; and Prohibited 5:30 p.m. to 9:00 p.m. except Saturdays, Sundays and Holidays, Lawrence Avenue to Stone Avenue, southwest side.	dual restriction periods
Lee Road	2	one-hour limit / prohibited	southwest	Stone Avenue	Reservoir Avenue		except Saturdays, Sundays and Holidays; 8:00 a.m. to 3:00 p.m.; 4:00 p.m. to 9:00 p.m.	Lee Road (2) One-hour limit 8:00 a.m. to 3:00 p.m. except Saturdays, Sundays and Holidays; and Prohibited 4:00 p.m. to 9:00 p.m. except Saturdays, Sundays and Holidays, Stone Avenue to Reservoir Avenue, southwest side.	dual restriction periods
Lee Road	3	one-hour limit / prohibited	northeast	Reservoir Avenue	180 feet west of Acacia Avenue		except Saturdays, Sundays and Holidays; 8:00 a.m. to 3:00 p.m.; 4:00 p.m. to 9:00 p.m.	Lee Road (3) One-hour limit 8:00 a.m. to 3:00 p.m. except Saturdays, Sundays and Holidays; and Prohibited 4:00 p.m. to 9:00 p.m. except Saturdays, Sundays and Holidays, Reservoir Avenue to a point 180 feet west of Acacia Avenue, northeast side.	dual restriction periods
Lee Road	4	prohibited	northeast	180 feet west of Acacia Avenue	Stone Avenue		all days; 7:00 a.m. to 7:00 p.m.	Lee Road (4) Prohibited 7:00 a.m. to 7:00 p.m. all days, from a point 180 feet west of Acacia Avenue to Stone Avenue, northeast side.	
Lee Road	5	one-hour limit / prohibited	northeast	Stone Avenue	60 feet west of Stone Avenue		except Saturdays, Sundays and Holidays; 8:00 a.m. to 3:00 p.m.; 4:00 p.m. to 9:00 p.m.	Lee Road (5) One-hour limit 8:00 a.m. to 3:00 p.m. except Saturdays, Sundays and Holidays; and Prohibited 4:00 p.m. to 9:00 p.m. except Saturdays, Sundays and Holidays, from Stone Avenue to a point 60 feet west of Stone Avenue, northeast side.	dual restriction periods
Lee Road	6	prohibited	northeast	60 feet west of Stone Avenue	Lawrence Avenue		except Saturdays, Sundays and Holidays; 4:00 p.m. to 9:00 p.m.	Lee Road (6) Prohibited 4:00 p.m. to 9:00 p.m. except Saturdays, Sundays and Holidays, from a point 60 feet west of Stone Avenue to Lawrence Avenue, northeast side.	
Leighton Road	1	two-hour limit	both					Leighton Road (1) Two-hour limit except by Auburndale Permit, Mon - Fri, 9 a.m. to 5 p.m., except Holidays, both sides.	except by Auburndale Permit
Lenglen Road	1	prohibited	east	Washington Street			7:00 a.m. to 7:00 p.m.	Lenglen Road (1) Prohibited, 7:00 a.m. to 7:00 p.m., east side, from Washington Street northerly 200 feet.	
Lenglen Road	2	two-hour limit					all days; 7:00 a.m. to 7:00 p.m.	Lenglen Road (2) Two-hour limit, all days, 7:00 a.m. to 7:00 p.m. a) South side, from Crafts Street 365 feet easterly. b) West side, from Washington Street 305 feet northerly.	has lettered sub-clauses
Lenglen Road	3	two-hour limit	east and north	200 feet north of Washington Street	Crafts Street		all days; 7:00 a.m. to 7:00 p.m.	Lenglen Road (3) Two-hour limit, all days, 7:00 a.m. to 7:00 p.m., east and north sides, from a point 200 feet north of Washington Street to Crafts Street.	
Lenglen Road	4	prohibited	south and west	365 feet east of Crafts Street	305 feet north of Washington Street		all days	Lenglen Road (4) Prohibited, all days, south and west sides, from a point 365 feet east of Crafts Street to a point 305 feet north of Washington Street.	
Leonard Avenue	1	two-hour limit	both				school days; 8:00 a.m. to 4:00 p.m.	Leonard Avenue (1) Two-hour limit, 8:00 a.m. to 4:00 p.m., school days, both sides, except by Newtonville Resident parking permit.	
Lexington Street	1	parking meter zone	east	Commonwealth Avenue	Auburn Street		10:00 a.m. to 4:00 p.m.	Lexington Street (1) Parking meter zones, two-hour limit, 10:00 a.m. to 4:00 p.m., east side, from Commonwealth Avenue to Auburn Street.	two-hour limit
Lexington Street	2	parking meter zone	west	Commonwealth Avenue	Auburn Street		8:00 a.m. to 6:00 p.m.	Lexington Street (2) Parking meter zone, two-hour limit, 8:00 a.m. to 6:00 p.m., west side, from Commonwealth Avenue to Auburn Street.	two-hour limit
Lexington Street	3	prohibited	east	Auburn Street	Commonwealth Avenue		7:00 a.m. to 10:00 a.m.; 4:00 p.m. to 7:00 p.m.	Lexington Street (3) Prohibited, weekdays, 7:00 a.m. to 10:00 a.m. and 4:00 p.m. to 7:00 p.m., east side, from Auburn Street to Commonwealth Avenue.	
Lexington Street	4	prohibited					all days	Lexington Street (4) Prohibited, all days: (a) from Rumford Avenue southerly 100 feet, west side. (b) from a point 150 feet north of Staniford Street, northerly 150 feet, both sides.	has lettered sub-clauses
Lincoln Road	1	prohibited	east	160 feet south of Adams Street				Lincoln Road (1) Prohibited, easterly side, from a point 160 feet south of Adams Street southerly 40 feet.	
Lincoln Road	2	prohibited	west	100 feet west of Hawthorn Street				Lincoln Road (2) Prohibited, westerly side, from a point 100 feet west of Hawthorn Street westerly 25 feet.	
Lincoln Road	3	two-hour limit	both	Crafts Street	Shamrock Street		all days; 7:00 a.m. to 7:00 p.m.	Lincoln Road (3) Two-hour limit, all days, 7:00 a.m. to 7:00 p.m., both sides from Crafts Street to Shamrock Street.	
Lincoln Street	1	parking meter zone	north	Walnut Street	90 feet west of Columbus Street			Lincoln Street (1) Parking meter zone, two-hour limit, north side, Walnut Street to a point 90 feet west of Columbus Street.	two-hour limit
Lincoln Street	2	one-hour limit	north	125 feet west of Columbus Street	Chester Street		8:00 a.m. to 6:00 p.m.	Lincoln Street (2) One-hour limit, 8:00 a.m. to 6:00 p.m., except by Newton Highlands Permit, north side from a point 125 feet west of Columbus Street to Chester Street.	
Lincoln Street	3	two-hour limit	north	Chester Street	80 feet east of Bowdoin Street		8:00 a.m. to 6:00 p.m.	Lincoln Street (3) Two-hour limit, 8:00 a.m. to 6:00 p.m., except by Newton Highlands Permit, north side from Chester Street to a point 80 feet east of Bowdoin Street.	
Lincoln Street	4	prohibited	north	80 feet east of Bowdoin Street	Bowdoin Street		all days	Lincoln Street (4) Prohibited, north side, all days, from a point 80 feet east of Bowdoin Street to Bowdoin Street.	
Lincoln Street	5	two-hour limit	north	Bowdoin Street	150 feet east of Woodward Street		8:00 a.m. to 6:00 p.m.	Lincoln Street (5) Two-hour limit, 8:00 a.m. to 6:00 p.m., except by Newton Highlands Permit, north side from Bowdoin Street to a point 150 feet east of Woodward Street.	
Lincoln Street	6	two-hour limit	north	Woodward Street	Harrison Street		8:00 a.m. to 6:00 p.m.	Lincoln Street (6) Two-hour limit, 8:00 a.m. to 6:00 p.m., except by Newton Highlands Permit, north side from Woodward Street to Harrison Street.	
Lincoln Street	7	prohibited	north	Harrison Street	Massachusetts Bay Transportation Authority property		all days	Lincoln Street (7) Prohibited, north side, all days, from Harrison Street westerly to Massachusetts Bay Transportation Authority property.	
Lincoln Street	8	prohibited	south	Massachusetts Bay Transportation Authority property	Bemuth Street		all days	Lincoln Street (8) Prohibited, south side, all days, from Massachusetts Bay Transportation Authority property to Bemuth Street.	
Lincoln Street	9	two-hour limit	south	Bemuth Street	Woodward Street		8:00 a.m. to 6:00 p.m.	Lincoln Street (9) Two-hour limit, 8:00 a.m. to 6:00 p.m., except by Newton Highlands Permit, south side from Bemuth Street to Woodward Street.	
Lincoln Street	10	prohibited	south	Woodward Street	130 feet east of Woodward Street		all days	Lincoln Street (10) Prohibited, south side, all days, from Woodward Street to a point 130 feet east of Woodward Street.	
Lincoln Street	11	two-hour limit	south	130 feet east of Woodward Street	85 feet west of Chester Street		8:00 a.m. to 6:00 p.m.	Lincoln Street (11) Two-hour limit, 8:00 a.m. to 6:00 p.m., except by Newton Highlands Permit, south side from a point 130 feet east of Woodward Street to a point 85 feet west of Chester Street.	
Lincoln Street	12	prohibited	south	85 feet west of Chester Street	50 feet east of Chester Street			Lincoln Street (12) Prohibited, south side, from a point 85 feet west of Chester Street to a point 50 feet east of Chester Street.	
Lincoln Street	13	one-hour limit	south	50 feet east of Chester Street			8:00 a.m. to 6:00 p.m.	Lincoln Street (13) One-hour limit, 8:00 a.m. to 6:00 p.m., except by Newton Highlands Permit, south side from a point 50 feet east of Chester Street 80 feet easterly.	
Lincoln Street	14	parking meter zone	south	170 feet east of Chester Street	70 feet west of Walnut Street			Lincoln Street (14) Parking meter zone, two-hour limit, south side, from a point 170 feet east of Chester Street to a point 70 feet west of Walnut Street.	two-hour limit
Linden Street	1	prohibited	west	Chestnut Street	Cheney Street			Linden Street (1) Prohibited, west side, from Chestnut Street to Cheney Street.	
Linden Street	2	one-hour limit	east	Chestnut Street	Cheney Street			Linden Street (2) One-hour limit, east side from Chestnut Street to Cheney Street.	
Linder Terrace	1	two-hour limit	both		end	entire length	7:00 a.m. to 6:00 p.m.	Linder Terrace (1) Two-hour limit, 7:00 a.m. to 6:00 p.m., both sides, entire length.	
Linwood Avenue	1	prohibited	north				all days	Linwood Avenue (1) Prohibited, all days: (a) North side from Bridge Street to Melbourne Avenue. (b) North side from Walnut Street to Crafts Street. (c) South side from Bridge Street to opposite Colonial Avenue.	has lettered sub-clauses
Linwood Avenue	2	prohibited	south and east	Walnut Street	Watertown Street		school days; 8:00 a.m. to 3:00 p.m.	Linwood Avenue (2) Prohibited 8:00 a.m. to 3:00 p.m., school days, south and east sides from Walnut Street to Watertown Street.	
Linwood Avenue	3	one-hour limit	both	Adams Street	Melville Avenue		7:00 a.m. to 7:00 p.m.	Linwood Avenue (3) One-hour limit, 7:00 a.m. to 7:00 p.m., both sides from Adams Street to Melville Avenue.	
Linwood Avenue	4	two-hour limit	north and west	Walnut Street	Watertown Street		school days; 8:00 a.m. to 3:00 p.m.	Linwood Avenue (4) Two-hour limit, 8:00 a.m. to 3:00 p.m., school days, north and west sides from Walnut Street to Watertown Street, south side, from Walnut Street to Crafts Street.	also south side Walnut Street to Crafts Street
Linwood Avenue	5	prohibited	north	Crafts Street	Walnut Street		1:00 p.m. to 4:00 p.m.	Linwood Avenue (5) Prohibited, Sundays, 1:00 p.m. to 4:00 p.m., north side, from Crafts Street to Walnut Street.	
Lion Drive	1	prohibited	both/east/north/south		end		all days	Lion Drive (1) Prohibited all days: a) Both sides, from Greenwood Street northerly 50 feet. b) East and north, from a point 50 feet north of Greenwood Street to Brandeis Road. c) South side, from Brandeis Road to a point easterly 515 feet. d) South side, from a point 750 feet east of Brandeis Road, 320 feet easterly. e) South side, from a point 1280 feet east of Brandeis Road, 780 feet southeasterly.	has lettered sub-clauses
Littlefield Road	1	two-hour limit	north	Winston Road	dead-end		school days; 7:00 a.m. to 2:00 p.m.	Littlefield Road (1) Two-hour limit, 7:00 a.m. to 2:00 p.m., school days, north side from Winston Road to dead-end.	
Littlefield Road	2	prohibited	south	Winston Road	dead-end		school days	Littlefield Road (2) Prohibited, school days, south side, from Winston Road to dead-end.	
Locke Road	1	two-hour limit	west				9:00 a.m. to 5:00 p.m.	Locke Road (1) Two-hour limit, 9:00 a.m. to 5:00 p.m., west side, except by Waban Resident parking permit.	except by Waban Resident parking permit
Locke Road	2	prohibited	east				including Saturdays, Sundays and legal Holidays; including Saturdays	Locke Road (2) Prohibited, including Saturdays, Sundays and legal Holidays, east side.	
Locksley Road	1	prohibited	west		entire length	entire length	all days	Locksley Road (1) Prohibited, all days, west side, entire length.	
Los Angeles Street	1	no parking	west	California Street	Allison Street		any time	Los Angeles Street (1) No parking, any time, west side, from California Street to Allison Street.	
Los Angeles Street	2	no parking	east	Allison Street			any time	Los Angeles Street (2) No parking, any time, east side, from Allison Street to a point 50 feet northerly.	
Los Angeles Street	3	prohibited	east				second Tuesday of every month; 9:00 a.m. to 1:00 p.m.	Los Angeles Street (3) Prohibited 9:00 a.m. to 1:00 p.m., east side, second Tuesday of every month.	
Longfellow Road	1	prohibited	north/south/inside		end	entire length	all days	Longfellow Road (1) Prohibited, all days: a) North side, from Washington Street, entire length. b) South side, from Washington Street, easterly 100 feet. c) Inside of the circle.	has lettered sub-clauses
Longfellow Road	2	one-hour limit	south				7:00 a.m. to 7:00 p.m.	Longfellow Road (2) One-hour limit, 7:00 a.m. to 7:00 p.m., south side, from a point 100 feet east of Washington Street to end except by Resident Permit as listed in TPR-202, including the outside of the circle and the southern half of the cul-de-sac.	see TPR-202; includes outside of circle and southern half of cul-de-sac
Lowell Avenue	1	prohibited	east/west		end		all days	Lowell Avenue (1) Prohibited, all days: a) from Hull Street to a point 55 feet northerly, east side. b) from a point 95 feet north of Hull Street to a point 145 feet north of Hull Street, east side. c) from a point 330 feet north of Hull Street to Elm Road, east side. d) from a point 305 feet north of Highland Ave to Washington Street, east side. e) from Washington Street to a point 325 feet northerly, east side. f) from Walnut Street to a point 50 feet northerly, east side. g) from Walnut Street to a point 50 feet southerly, west side. h) from a point 325 feet north of Washington Street to Washington Street, west side. i) from Washington Street to a point 115 feet south of Austin Street, west side. j) from a point 35 feet north of Calvin Road to a point 115 feet south of Calvin Road, west side. k) from a point 355 feet south of Calvin Road to a point 60 feet south of Highland Street, west side. l) from a point 100 feet south of Page Road to Page Road, east side. m) From a point 180 feet east of Prescott Street to dead-end.	has lettered sub-clauses
Lowell Avenue	2	resident permit only	west				school days; 7:00 a.m. to 4:00 p.m.	Lowell Avenue (2) TIGER permit parking only, 7:00 a.m. to 4:00 p.m., school days: a) from a point 115 feet south of Austin Street to Highland Avenue, west side. b) adjacent to Claflin Park, west side.	TIGER permit parking only; has lettered sub-clauses
Lowell Avenue	3	two-hour limit	east/west				school days; 8:00 a.m. to 4:00 p.m.	Lowell Avenue (3) Two-hour limit, 8:00 a.m. to 4:00 p.m., school days, except by Newtonville Resident parking permit: a) Commonwealth Avenue to Hull Street, east side. b) Elm Road to a point 115 feet south of Austin Street, east side. c) Highland Avenue to Calvin Road, west side (three non-resident Newtonville Parking Permits allowed). d) Hull Street to northern edge of Claflin Park, west side. e) southern edge of Claflin Park to Commonwealth Avenue, west side.	except by Newtonville Resident parking permit; has lettered sub-clauses
Lowell Avenue	4	two-hour limit	east/west				7:00 a.m. to 8:00 p.m.	Lowell Avenue (4) Two-hour limit: a) 7:00 a.m. to 8:00 p.m., from a point 325 feet north of Washington Street to Foster Street, east side. b) 7:00 a.m. to 8:00 p.m., from a point 325 feet north of Washington Street to Foster Street, west side.	has lettered sub-clauses
Lowell Avenue	5	pick-up drop-off zone	east					Lowell Avenue (5) Pick-Up Drop-Off Zone: a) from a point 55 feet north of Hull Street to a point 95 feet north of Hull Street, east side. b) from a point 145 feet north of Hull Street to a point 330 feet north of Hull Street, east side.	has lettered sub-clauses
Lowell Avenue	6	live parking only	west				school days; 8:30 a.m. to 4:30 p.m.	Lowell Avenue (6) Live parking only 8:30 a.m. to 4:30 p.m., School Days, and no parking other times: a) from a point 115 feet south of Calvin Road to a point 355 feet south of Calvin Road, west side.	has lettered sub-clauses
Lyman Street	1	prohibited	north/south		end		all days	Lyman Street (1) Prohibited, all days: a) North side. b) South side from Centre Street to Centre Green. c) Both sides from Sumner Street westerly 50 feet.	has lettered sub-clauses
Lyman Street	2	parking meter zone	south	Centre Green	Sumner Street		8:00 a.m. to 6:00 p.m.	Lyman Street (2) Parking meter zone, twelve-hour limit, 8:00 a.m. to 6:00 p.m., south side, from Centre Green to Sumner Street.	twelve-hour limit
Lyman Street	3	prohibited	south	Centre Green	Sumner Street		all days; 7:00 a.m. to 9:00 a.m.	Lyman Street (3) Parking prohibited, all days except Saturdays and Sundays, 7:00 a.m. to 9:00 a.m., south side, from Centre Green to Sumner Street.	
Madison Avenue	1	prohibited	south	Walnut Street	Harvard Street		all days	Madison Avenue (1) Prohibited, all days, south side from Walnut Street to Harvard Street.	
Madison Avenue	2	prohibited	north	Harvard Street			7:30 a.m. to 9:30 a.m.	Madison Avenue (2) Prohibited, 7:30 a.m. to 9:30 a.m., north side, from Harvard Street to a point 115 feet east of Walnut Street.	
Madison Avenue	3	parking meter zone	north				7:00 a.m. to 7:00 p.m.	Madison Avenue (3) Parking meter zone, two-hour limit, 7:00 a.m. to 7:00 p.m., north side, from a point 115 feet east of Walnut Street to a point 95 feet east of Walnut Street.	two-hour limit
Manet Road	1	prohibited	west				all days	Manet Road (1) Parking prohibited, all days, west side.	
Manitoba Road	1	two-hour limit	west				9:00 a.m. to 5:00 p.m.	Manitoba Road (1) Two-hour limit, 9:00 a.m. to 5:00 p.m., except Saturdays, Sundays and legal Holidays, west side, except by Waban Resident parking permit.	except by Waban Resident parking permit
Manitoba Road	2	prohibited	east				school days	Manitoba Road (2) Prohibited, school days, east side.	
Maple Avenue	1	prohibited	both	Church Street				Maple Avenue (1) Prohibited, both sides, from Church Street southerly 30 feet.	
Maple Avenue	2	two-hour limit			30 feet south of Church Street		9:00 a.m. to 4:00 p.m.	Maple Avenue (2) Two-hour limit from a point 30 feet south of Church Street to end, 9:00 a.m. to 4:00 p.m.	
Maple Park	1	prohibited	south		entire length	entire length	all days	Maple Park (1) Prohibited, all days, south side, entire length.	
Maple Park	2	two-hour limit	north		entire length	entire length		Maple Park (2) Two-hour limit, north side, entire length.	
Maple Street (Auburndale)	1	prohibited	west				all days	Maple Street (Auburndale) (1) Prohibited, all days, west side.	
Maple Street (Auburndale)	2	prohibited	east	Berkeley Place	Central Street		9:00 a.m. to 5:00 p.m.	Maple Street (Auburndale) (2) Prohibited, east side, 9:00 a.m. to 5:00 p.m., from Berkeley Place to Central Street.	
Maple Street (Auburndale)	3	one-hour limit	east	Auburn Street	Central Street		Monday to Friday; 9:00 a.m. to 5:00 p.m.	Maple Street (Auburndale) (3) One hour limit, Monday to Friday, 9:00 a.m. to 5:00 p.m., east side, except by Auburndale permit, Auburn Street to Central Street.	except by Auburndale permit
Maple Street (Newton Corner)	1	prohibited	south	Jefferson Street				Maple Street (Newton Corner) (1) Prohibited, south side, from Jefferson Street, 145 feet westerly.	
Maple Street (Newton Corner)	2	prohibited	south	Jefferson Street	Nonantum Road			Maple Street (Newton Corner) (2) Prohibited, south side, from Jefferson Street to Nonantum Road.	
Margaret Road	1	two-hour limit	both	Boylston Street	Frances Street		Saturdays included; 7:00 a.m. to 10:00 p.m.	Margaret Road (1) Two-hour limit, Saturdays included, 7:00 a.m. to 10:00 p.m., both sides from Boylston Street to Frances Street.	
Margaret Road	2	two-hour limit	both	Frances Street	Charles Street			Margaret Road (2) Two-hour limit, both sides, from Frances Street to Charles Street.	
Marlboro Street	1	two-hour limit	both	Tremont Street	Arlington Street		7:00 a.m. to 6:00 p.m.	Marlboro Street (1) Two-hour limit, 7:00 a.m. to 6:00 p.m., both sides, from Tremont Street to Arlington Street.	
Marshall Street	1	prohibited	south	Sumner Street	Chestnut Terrace		all days	Marshall Street (1) Prohibited, all days: a) South side, from Sumner Street to Chestnut Terrace.	has lettered sub-clauses
Marshall Street	2	two-hour limit	south	Chestnut Terrace	Grant Avenue			Marshall Street (2) Two hour parking limit: a) South side, from Chestnut Terrace to Grant Avenue.	has lettered sub-clauses
Mayflower Road	1	prohibited	west				8:00 a.m. to 7:00 p.m.	Mayflower Road (1) Prohibited, 8:00 a.m. to 7:00 p.m., west side.	
Meadowbrook Road	1	prohibited	west	Wheeler Road			all days	Meadowbrook Road (1) Prohibited, all days, west side, from Wheeler Road southerly 160 feet.	
Meadowbrook Road	2	no standing	east				all days	Meadowbrook Road (2) No Standing, all days, eastern side of school traffic circle.	eastern side of school traffic circle
Meadowbrook Road	3	prohibited	west/east				school days	Meadowbrook Road (3) Prohibited school days: a) West side, 7:30-8:30 a.m., 2:30-3:30 p.m., from Wheeler Road northerly 195 feet. b) West side, 7:30-8:30 a.m., 2:30-3:30 p.m., from a point 160 feet south of Wheeler Road, southerly 180 feet. c) East side, 7:30-8:30 a.m., 2:30-3:30 p.m., from Wheeler Road northerly 150 feet.	has lettered sub-clauses
Melrose Avenue	1	resident permit only			150 feet west of Lexington Street		9:00 a.m. to 5:00 p.m.	Melrose Avenue (1) Auburndale Business Permit Parking Only, head-in, 9:00 a.m. to 5:00 p.m., from a point 150 feet west of Lexington Street to a point 200 feet west of Lexington Street.	Auburndale Business Permit; head-in parking
Melrose Street	1	prohibited	east	120 feet south of Melrose Avenue	185 feet north of Melrose Avenue		all days	Melrose Street (1) Prohibited, all days, east side, from 120 feet south of Melrose Avenue to 185 feet north of Melrose Avenue.	
Melrose Street	2	two-hour limit	west	Commonwealth Avenue	Melrose Avenue		9:00 a.m. to 5:00 p.m.	Melrose Street (2) Two-hour limit, except by Auburndale Permit, 9:00 a.m. to 5:00 p.m., west side, from Commonwealth Avenue to Melrose Avenue.	except by Auburndale Permit
Melrose Street	3	resident permit only	west	Melrose Avenue	Ash Street		9:00 a.m. to 5:00 p.m.	Melrose Street (3) Auburndale Business Permit Only, 9:00 a.m. to 5:00 p.m., west side, Melrose Avenue to Ash Street.	Auburndale Business Permit Only
